id	name	estdate	icon	score	about	factions_id
438	THRE3S	2015-04-07	AQ4OBAAwPAhVar/1Vqv/UAAA9VaoD1Vqg/VWqP9Vaj/1QAP/VWo/9Vao/1Vqg/VWqA9QAAD1Vqv/	0	three life	
439	The_Dragons	2015-04-07	AQ4OBAAwDD////////8A//8ADwAAgMAAAAAAAADMzMwP///wzMzMAAEAEMAFUE/8AFH//wBP///B	0	Burn B4 Us	
440	FiliisScoob	2015-04-07	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Lets Play	
441	Alpha_Dogs	2015-04-08	AQ4OBAAwDAcD//wAD/8AAD/APADwD/AKA//AoD/9VVf/1VV//VVX/wCgP8AKAPAD/AMA//AAP//A	0	Tactic and patience :3	
442	farmers...	2015-04-09	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0		
443	ASSASINS	2015-04-09	AQ4OBAAwDAdVVVVVVRVVVVBVVVQFVVVEFVVQUFVVFUVVQVRVVAABVUVVFVBVUFUVVUVRVVQUFVVQ	0	:)	
444	DarkShadow	2015-04-09	AQ4OBAAwHD8AAAAAAAAABVABAEAAVAQAFUBVBQUAAAAAQAAAFVAAAVQAAAEAAAAQAAAAAAAAAAAA	0	you will never see us	
445	suicidesquad	2015-04-09	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	life is overated	
446	Blood2	2015-04-09	AQ4OBAAABC/////+u7u7+qqqvru7u/qqqr67u7v6qqq+u7u7+qqqvru7u/qqqr67u7v6qqq/////	0	Drink Up!	
447	US-Navy	2015-04-10	AQ4OBAAwPwH//qqu7tVV//6qru7VVf/+qq7u1VX//qqlVVVVqqqqpVVVVaqqqqVVVVWqqqqlVVVV	0	The Galactic Force	
448	Grow	2015-04-10	AQ4OBAAwDAdVar/lVqv+VWq/pVar6lVquqVWqqpVaqqlVqqqVWqqtVqqr1aqq/Wqqv9qqr/6qqv/	0	lets grow together!	
449	destroyers78	2015-04-10	AQ4OBAAwAS8AAAAAqgAAC+qgALP+gAsAOgCxUOALEU4AsRTgCxFOALFQ4AsAOgC//oAKqqAAAAAA	0	destroy all that unite	
450	Goon	2015-04-10	AQ4OBAAqFQcAAAAAAAAAAAAAAAIAAAAoAAACaoAAJWAACVgAAqmAAAAoAAAAgAAAAAAAAAAAAAAA	0	Goon	
451	I0I00I00	2015-04-12	AQ4OBAAADD8AAAAA///wD9V/APX18A99XwD33fAPdd8A933wD1ffAPX18A/VfwD///AAAAAAAAAA	0	01001010	
452	GalaxyProz	2015-04-12	AQ4OBAAwAj+qqVVb/6qqgwlVW/y//4MJVVqqqqpVVVVf////VVVVWqqqqlVVVV////9VVVVaqqqq	0	Can't beat em, join em	
453	Bank.	2015-04-12	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0		
454	Viper	2015-04-12	AQ4OBAAwID8AAAABqqqkQAAAEBAAQIFAFCcFBQ1cFUNRcFDVBcA1ABcNQABfUAChVKCoBQKFUAAV	0	We rise as1 we fall as1	
455	RageQuitTeam	2015-04-12	AQ4OBAAwDCMAAAAAAAAAAAAAAAQBAABAEAAEAQAAQBAAAAAAAAAAAAVVAAFAFABQAEAAAAAAAAAA	0	Xx_Undefeated_xX	
456	KATES	2015-04-12	AQ4OBAAVKh2qqqqqqqqqVVVWpVVVqrqq+qvqv6qvr+qqv/qqqv6qqquqqlVVVVVVVVWqqqqqqqqq	0	Have an alterK8ion	
457	First_Blood	2015-04-14	AQ4OBAA/ACD/DwD/w/A//D8D/wPA//D8DzwPw/PA8DwwPw/DA8DwMDw/Dw8Dw8Dw/PAMDw8DwPPw	0	Against_All_Odds	
458	Snakes	2015-04-14	AQ4OBAAwDAcAAAABVVVUBVVVAwAADDyqo8PKADw8gAPDyqo8PACjw8ACPDwAI8MKqjwFVVTBVVVQ	0	Ssssssssssssss	
459	Naruto	2015-04-15	AQ4OBAA4KhX////////z///8v/wAL/8qq//L///8/AD/D8qPyPyI8s/Aj6z/qPvD6o8AAAP/////	0	This is my Ninja Way	
460	SPARTANS	2015-04-16	AQ4OBAAwDAdUAAP1QAA/VAAD9UAAP1QAA/VAAD9UAAP1QAA/VAAD9UAAP1QAA/VAAD9UAAP1QAA/	0	SPARTANS NEVER DIE	
461	Darke_Knight	2015-04-16	AQ4OBAAwDAcAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	0	Be darke	
462	Nemesis	2015-04-16	AQ4OBAAVGRYAAAABAABUFAABQVAAFBVAAUFFABQUFAFBQFAUFAFBQUAFFBQAFUFAAFQVAAFAAAAA	0	Agents of Your Downfall	
463	TGBTG	2015-04-16	AQ4OBAA/MAf8AAP/CAIPwqCoMKqqoClaVoKapqgpamqCmqaoCVpWACqqgACqoAwCqAPwCgD/wAA/	0	Only True Kitties	
464	The_Dollars	2015-04-17	AQ4OBAAwPQwAAAAAAiAAAO7wADIjAAMiAAA+IAAALsAAAi/AACIMADIjwAPu8AACIAAAIgAAAAAA	0		
465	ACE	2015-04-17	AQ4OBAA/IzFVVVVVVQVVVUAVVVAAVVQAAVUAAAVQAABVAAAFUAAAVQAABVQAAVVVBVVVUFVVVVVV	0	Let's ACE	
466	VirginSquad	2015-04-18	AQ4OBAA/PjwAAAAAAQQAAFVQAARRAABFEAABVAABAAQAVQVQBVVVAEVVEABVUAAFBQABUFQAAAAA	0	Cant Be Touched	
467	Nation_Fall	2015-04-18	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Umm... Stuff	
468	TheRegime	2015-04-19	AQ4OBAALID8AAAAD8/z8Mw8MwwP8DD///8AAAAAFBQUAUlJQIVVUgoAAKAoqigAqCoAKqqoAAAAA	0	Legends Never Die	
469	ghostride3	2015-04-19	AQ4OBAAHDDAD//8ED//BED/wQED8EIEDBCoEAQqoGkKqoviqqi+KqoGkKqBAEKgQ8EIEP8EBD/8E	0	have a fire time	
470	PiNeCrEsT	2015-04-19	AQ4OBAAAMAEAAAAAQABABAAEAEAAQAQABABAAEABABAABAQAABEAAAREAAEAEAJCIGAKgKgAIAIA	0		
471	Whatever	2015-04-19	AQ4OBAAwDAcAAAAAAAAAFVVEEBBFRQEEFUAQQVABBBUAEEFQAQRVQVVURQAAABAAAAAAAAAAAAAA	0	Basically whatever	
472	Phantoms	2015-04-20	AQ4OBAAwAQGppaaqalqamoAqZqAAqagVUqVBARWoEBKvwVU/VBABX8EAP38QD938A/f39f3/319/	0	"We are invisible!!!"	
473	Zombie	2015-04-20	AQ4OBAAwDD+qqqqqqqqqqqqqqqqqqqqqqqoUoUqhShSqqqqqqqqqqoz/KqgAAqqP8yqqqqqqqqqq	0	We are Zombie Madness	
474	theEhhTeam	2015-04-20	AQ4OBAAwDAcAAAAAAAAABVVQAUABQABUBAAVAEAFUAQBUUFABAVQAAAVAAAVFAAFAFAAQAAAAAAA	0	Bread, Land, Peace!	
475	Blaze	2015-04-20	AQ4OBAAwNDhVVVVV/af1d2qd19pafXbludW+W+Vr5b6WVVVZa+W+lb5b5XbluddaWl1fap9VVVVV	0	burning to the top	
476	XTermination	2015-04-20	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Live.Die.DoItAllAgain	
477	Wabbits	2015-04-21	AQ4OBAAAPzpVVVVVVVVVVVVVVVaVpVW+b5Vb5vlVvm+VVqWpVVqqVVa66VVqqpVWr6lVaqqVVaql	0	fluffy	
478	OMG.NOT.FAIR	2015-04-21	AQ4OBAAwDAcAAAAAAAAAAAAAAAAAAADAMAAAAAAAAAAAAKAAAAAAABAAQAEABAAVVUAAAAAAAAAA	0	You'll Get Over It	
479	Ninja	2015-04-21	AQ4OBAAwDAcAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	0	Sneaking	
480	Cavaliers	2015-04-22	AQ4OBAABJD9VVVVVVVVVVb/lVWr6lVpvmlar/qlq//qWv//pav/6lqteqWmvppaWqWllVVWVVVVV	0	Play Galcon,Worship Dogs	
481	Doctor-Who	2015-04-22	AQ4OBAAqAzxVVVVVV11VVVBVVVqqVVWAJVVYAlVVqqVVW+JVVb4lVVqqVVWAJVVYAlVVqqVVVVVV	0	Timelords of the Galaxy	
482	Crusaders	2015-04-23	AQ4OBAABMD//ap//1ql/9lpZ/Wqql/9aX/1dp1fZWlZ9qqqn9lpZ/92nf//af//9p//1WlX/aqqf	0	Destroy all in our way	
483	GalaxyWingz	2015-04-23	AQ4OBAAHBzC6qqqr+qq//qqq/6qr6qqq/qqqv6qrr+qq+/qqq/6qqr+qqq//qvv76r6+qq/qqqrq	0	Coins into wings	
484	uSUK	2015-04-24	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	u suk	
485	The_Loner	2015-04-25	AQ4OBAA/ATMAAAABVAAAEEEAAQQAABVBFQFQEQARQRABBRFQAAAAAAAAABVVVUAAAAAAAAAAAAAA	0	Being Alone is Perfect	
486	Mute	2015-04-25	AQ4OBAAwDAcAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAKqqqqAAAAAAAAAAAAAAAAAAAAAAAAAAAA	0		
487	BEMF	2015-04-25	AQ4OBAAwDAdVVVVVVVVVVVVVVVVVVaqqqqqqqqr/////////////+qqqqqqqqqVVVVVVVVVVVVVV	0	Do it, what you can!	
488	Ketty_Jay	2015-04-25	AQ4OBAAwDAc1VVXAUAAQxBVQNAVVRVBFRFVEEEVUVVRVRVVFVBEQVUERBVQBABQFAVPBVVVDVVVc	0	live free die last	
489	LOL	2015-04-25	AQ4OBAAwDAcAAAAAAAAAAAAAAAAAAAAAAVAVVVUBVVVQFVVVAVVVUBVVVQABBVAAFVUAAAVQAABU	0	LOL a lot	
490	Tribeur	2015-04-26	AQ4OBAAwPwf/6pVf/qlV/+qVX8AAFfwAAV/+CVX/4JVf/glV/+CVX/4JVf/glV/+CVX/6pVf/qlV	0	Be Active or Be Kicked	
491	Pokenerds	2015-04-26	AQ4OBAAqPzCqqqqqqgqqqo8qqqP8qqj/8qo//8qP8P8oAAAChVBVKhVVSqhVUqqhVKqqhSqqqgqq	0	gotta catch'em all	
492	JAS3M	2015-04-27	AQ4OBAAwADcAAAAAAAAAAAAAABUFQAVVVQBVVVAFVVUAFVVAAFVQAAFUAAAFAAAAAAAAAAAAAAAA	0	Saandy's lover	
493	Apocalypse	2015-04-27	AQ4OBAA/PABVVVVVj18lY8A8lPKo8Xyqo9fKCj1coKNVyqo1fIAj18jyPUyPIxYz/MlY9fJVVVVV	0	We'd rather die fighting	
494	WeAreFriends	2015-04-28	AQ4OBAACPxXV///dfVVd32qp3dqqnd2qqd3alV3dqVXd2qqd3aqp1dqVXX2p/9dan1V2qdVVVVVV	0	WeAreYourFriends :)	
495	LoliSquad	2015-04-28	AQ4OBAA/MTqqqqqqVWqqlqaqqaVqqpqqqqmlVVqZVVWqVVVWpUVRalMUxqX/f2l6v9ZV7/VlV/9W	0	Don't tell mom, oniichan	
496	Trap_Queens	2015-04-28	AQ4OBAAwDAcAAAACVVVYLQAHgvVV+C9AH4L1VfgqqqqCqqqoJf/1glwDWCX/9YJwANgv//+AAAAA	0	Live to Win	
497	GalaxyHamz	2015-04-29	AQ4OBAAwDAcAAAABVEE8EEQTwQBVABFEE8EEQTwVRBAACqKoPIIgg8gCAACKIoPIIgg8qiqAAAAA	0	GalaxyGuardz's sub clan	
498	DieSpieler	2015-04-29	AQ4OBAADMD9VVVVVVVVVVV9VVV1XVVdVXVVX/VVdf9dV1ql1VWqVVXVV1VXVdVVV9VVVVVVVVVVV	0	zawsze tkactwo	
499	Triumphants	2015-04-30	AQ4OBAAVPwKggCCgKgqAKgAKgAAAAIqqqigoAoKgCgCqoKCqAoooAUiiFBSKIUFIAhQUoKFIKAKC	0	"Rulers Of The Elite"	
500	RST	2015-04-30	AQ4OBAA8JCQAAAAAFVVQAVZVAAW1QABXVAABZQAAHtAAAFQAAAVAAAAQAAABAAAAVAAAFVAAAAAA	0	Real Steal Tours	
501	ZERO-THEOREM	2015-05-01	AQ4OBAADID8AKoBQCqoVAqCpQKgCoCoAWoqAFSqgAUClAoAFVKgBUVoAVAVAFQKVBUCoVVAKAVQA	0	The one and only	
502	The_Aslyum	2015-05-02	AQ4OBAAwCD+6ruq6rru+7rr6vrrr7+LvuL/A8D//zz//f//f9//9/9//f/1/1//1Vf//1X//////	0	More than u think	
503	Afterlife	2015-05-02	AQ4OBAAwAD0AAAABJFGEFJphQVKoVBBKEEEBpAQUBQFAQFAQABpAAAShAAEKBABCqBAQqqBAAAAA	0	Dust to Dust	
504	GalcoNation	2015-05-02	AQ4OBAA4AgEAAAAAKqAACqpEQqAt3CgAVUKAAAAoKg/Co+A8CqrDwCqvPAA8/8ADw/wAPw/AAAAA	0	Never satisfied.	
505	THE_BEST	2015-05-03	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	We're the best	
506	hruaia	2015-05-03	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0		
507	VORTEXKINGS	2015-05-04	AQ4OBAA8DDD//+7/vu/vu/7v+vf/e+9dl//333/7fff+9VV++3/3+vVVv/77/6+/+/7v7v7/v7++	0	BE A KING IN VORTEX	
508	Exploiterz	2015-05-04	AQ4OBAAVPwAAAAAAAAAAAAAAACqqoAr//oBv/+QG//1Ab//oCv/+QCqqoAKJigAAWAAAKqAAKqqg	0	ERROR_404.EXE	
509	The-Admirals	2015-05-04	AQ4OBAAwDDwAAwAAAPwAADzwAA//wAPzPwA///AD//8AMAAwA///ADAAMAP//wAwADAD//8AP//w	0	Humility and Honor	
510	darklayer	2015-05-05	AQ4OBAADMD8NmmcINlnCYNpwkYlWJAYliQ9lpZ/2mmnwZaWQGBpCRjBQyY7FOyOBpCzgZZC4GaZC	0	be kind and donate	
511	MINAMI-KE	2015-05-07	AQ4OBAA/NDyqqqqpWZVmqZpqaVVmVpmaZmpZppqqr/////qqlZpqapmmVpVWammZpqalmllqqqqq	0	Let's go!	
512	CoolCats	2015-05-08	AQ4OBAAgDz8AAAABAAAEFAABQRAARBBAEEFQAFQAAAAACgoAAAAAAAAAABAAAEBAABABVVQAAAAA	0	We worship the......cat	
513	TESLA	2015-05-08	AQ4OBAAwPwL+qqlfwAAV/wAFWPwBUoPwVCgP1QKAPUAoAXwCgFfwKBUPwoVAPyVQAP9UAAP1aqq/	0	giving 110% since may 8!	
514	Hate.	2015-05-09	AQ4OBAAwDAcAAAAAAAAAAAAAAAAAAABQFAAFAUAAAAAAAAAAABVQAAEBAAAAAAAAAAAAAAAAAAAA	0	Hate.	
515	Elevation	2015-05-09	AQ4OBAA/MDAAAAACqqqoIAAAgioAiCFSgoIaGIghUYCCGhgIIVGoggAViCIgAIIIAAgqqqqAAAAA	0	WeRiseAs1WeFallAs1	
516	TheLeisure	2015-05-10	AQ4OBAAwDCQAAAAAAAAAAAAAAAAAAAAAAAA/wAAP/yoAqqogAqqqACqoAACAoAAAAAAAAAAAAAAA	0	Just chillin	
517	Zenith	2015-05-10	AQ4OBAAqIBUAAAAAAAAABVVVQGqqhAaqqEBACgQEAoBAQKAEBCgAQEoABASqqkBKqqQFVVVAAAAA	0		
518	We_Horny	2015-05-10	AQ4OBAAwDAcQAABBAAAUFAABAVAAUAVAFAAFBQABVFQAEABAAREEAEAAQAEAEAAEBAAAFQAAAAAA	0	We honor Our goats!!!	
519	Sanics	2015-05-12	AQ4OBAA/AjAAAAAAAAAAAAAAAAACAAAoqgAIqiAACqgAApqgAKWiAAqqgAKqoAAiKoAAoqoAAAAA	0	Got to go faster!	
520	Mega_Stars	2015-05-13	AQ4OBAAOPzAAAAABVAFUFVBVQVWlVCVglYKAoCgj4LyCM6zIIw8MgjIIyBMaTEFFBRQVQBVAAAAA	0	move like the wind	
521	aawesomeness	2015-05-13	AQ4OBAAPOANVVWqlVVWqVVVWpVVVWlWFVWVYFVVVgFVVWVVVVZVVXwA///wP//////+qqqqqqqqq	0	be the beast	
522	SkyStormz	2015-05-14	AQ4OBAAABg9FSxUQ1LFwfkwb1aAApVSsoVAI8gCsNfD/D1w6AI8gBUo6FVoAClfkMb0NThcEVOFR	0	The Storm of the Galaxy	
523	THABANDITS	2015-05-14	AQ4OBAAlMBBp/af1rnlX8AADVh2qCmMAMKYwJjuhZgO+Jp4P8wAcvxQDS/N6kP0AAD9fu+u/uv//	0	show no mercy	
524	xTheVaderzXz	2015-05-14	AQ4OBAAAIAAAAAAAAAAAACqgAAoCgAKACgAiAiACAAIAIAAgAoiKACqqoECqqAQAAAAAAAAAAAAA	0	The Sith are growing....	
525	the_uprising	2015-05-15	AQ4OBAA/PAC//v/u/7/77/7/vle9W+1eV771Vfvv33+uqfarr1VfvtW1e+V+1b7/v/vv/v+7/7/+	0	1 rule - win	
526	Francophonie	2015-05-16	AQ4OBAA/AzCqlX/6qVf/qpV/+qlX/6qVf/qpV/+qlX/6qVf/qpV/+qlX/6qVf/qpV/+qlX/6qVf/	0	UNION POPULAIRE	
527	Bombay	2015-05-16	AQ4OBAA4PS7////9VVVX36qvfe33t9tlnn2Zpmfbb559tvnn2ZpmfbZZ597fe336qvfVVVV/////	0	Rolltide	
528	CHINA	2015-05-17	AQ4OBAA8MD+qqqqqqqqqqqqaqmqqqpWqqqpqqqqqqmqqqqqqqqqqqqmqqqaqqqqqqqqqqqqqqqqq	0	Send me to china	
529	Hotdog	2015-05-17	AQ4OBAAwDAdVar/1Vqv/UAAA9QAAD1EqjPUSCM9RIIz1EgjPUSCM9RKoz1AAAPUAAA9Var/1Vqv/	0	Delicious	
530	Seven-Saints	2015-05-17	AQ4OBAAwDAcQVBVBBUFREEAFEAAAQVUBABBAFAEAQVEUFVURVQVRFUBQFQUFAAQUABUAAQVVABVV	0	stay loyal stay royal	
531	The_Pharaohs	2015-05-18	AQ4OBAAwDAcAAAAAABAAFQAFURQEEBBQQQEBBBEQUEFRBAQQEUBBAVAAFRQAAAAAAAAAAAAAAAAA	0	curse of the pharaohs	
532	GalaxyHeroes	2015-05-18	AQ4OBAA/PANVX1VWqqqpb9p/ls2nOWzVc57P/zvsAAO+z/87bNVzls2nOWzac5b9V/lqqqqVVfVV	0	PROTECTING THE GALAXY	
533	Magic	2015-05-18	AQ4OBAAwDAf////wAAAAAAAAAAAAAAVAFQAQAEABAAQAAAAAAAAAABVVQAEABAAAAAAAAAAAAAAA	0	magic is god	
534	L3gEnD	2015-05-18	AQ4OBAAPAwxvfd+ZjHMmpk0ZqphyanZtmdoJpgrd5bd3dlndoJpgp2bZnamHJqpk0ZqYxxJm9935	0	We will be remembered!	
535	GalcoNaughty	2015-05-19	AQ4OBAAwPwOqqqqqqqqqqVpWqlVVWqVVVapUUVulQRX6VEFftUUV/9VVf/9VX//9V///9f//////	0	Naughtiest clan around!	
536	Swiss_Bank	2015-05-20	AQ4OBAAxPwdVVVVVVVVVVVVVVVWlVVVaVVVVpVVWqqlVaqqVVVpVVVWlVVVaVVVVVVVVVVVVVVVV	0	Hide moniez here	
537	GalaxyCowz	2015-05-20	AQ4OBAAKGBcAAAACqgDEICEBAhBAACMQ/8IADAwgqMwCEgwAICDIAqoMEAAAwQEjDAwMCP/AAAAA	0	MOO! Go GALAXY COWZ!!!!!	
538	Hows	2015-05-21	AQ4OBAAHDzpqmlaWWqqpZVVVplaqVWqlZpaaVqlVlVWVWVqpaqqqlqlWmWqVaZZpVZlWqqmVVVVV	0	Dont be a bitch	
539	YANDEX	2015-05-22	AQ4OBAA/IDwAAAAAD8AAAPwAAA/AAAD8AAAPwAAA/AAAD8AAFf6vwV/q/BX+r8Ff6vwAAAAAAAAA	0	Saand Noob	
540	standAlone	2015-05-22	AQ4OBAAwDD9VQD/1VAP/VUA/9VQD/1VAP/VUA/9VQD/1VAP/VUA/9VQD/1VAP/VUA/9VQD/1VAP/	0	This is it. Me & Myself.	
541	GoofyGoobers	2015-05-23	AQ4OBAA8PwcAAAAAFVVABpVpAYpYpBqlqkGqWqQVVVVBVVVUFAABQUAAFBQAAUBQAFABVVQAAAAA	0	I'M A GOOFY GOOBER YEAH	
542	iOwN	2015-05-25	AQ4OBAA4MCEAAAAABVUAAVVUAFVVUAUVRQBQUFAFVVUAVVVQBFVRAEAAEAVVVQAVVUAAVVAAAAAA	0	GET OWNED	
543	OldFarts.	2015-05-25	AQ4OBAAwDAf/////q6ur+7v7/7urv/u7+/+rv6v//////ff//99//933f/3/9//f/3/9VVf/////	0	Smelly Eman Only :)	
544	Balloons	2015-05-25	AQ4OBAAwPwcAAAAAAAAAAAAAAAAAAAVQ/wFVf/wVV//BVX/8FVf/wFVP8AFQPAAIAIAAgAgACqqA	0	Flying High	
545	Creators	2015-05-25	AQ4OBAA4JDQAAAAAAWAAABYAAAFgAAVVVABaW8AABgAAAXAAABcAAAFwAAAXAAABcAAAFwAAAXAA	0	Creators Of The Universe	
546	subzero	2015-05-26	AQ4OBAAwDAdqCgqVpaWlXxpPX1WlX1/af1H8A/QAAAACrvuoKg8Kgq33qCp/2oKlVagqqqqAAAAA	0		
547	Syncrohex	2015-05-26	AQ4OBAA/AzgAqqAAC/4AAsA4ALAA4KwVQ6sBAA6wFUDrAAQOsABA6sFUOgsADgAsA4AAv+AACqoA	0	Syncrohex Skycom clan	
548	HoodedOnes	2015-05-26	AQ4OBAAgDAIAAAAAP//ADwAPA8P8PDDAMMMwAMwzEEzDMADMMwAMwzAAzDMADMM8A8w8AAPDAAAM	0	Born from shadow	
549	karteL	2015-05-26	AQ4OBAAwDD8AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	0	.	
550	My-own-Clan	2015-05-26	AQ4OBAAwDAMAAAAAAAAAAAAAAAMwAAA/DwAP/8AAP/AAD//wAD/AAAM/AAAAMAAAAwAAAAAAAAAA	0	Do it yourself!	
551	DVHS	2015-05-26	AQ4OBAAwDAcACCAAAIIAAAggAAqqoACIIgAIggAAqqoAAIIgAAgiAAiCIACqqgAAggAACCAAAIIA	0	get money and eat	
552	Smallersguys	2015-05-27	AQ4OBAAxDBBVVVVVVqpVVpZaVWWpZVlZlZWVmVlZZWWVmqqZWZVZlWVVZVqVWpVWqlVVVVVVVVVV	0	Be crazy and win!	
553	TeaParty	2015-05-27	AQ4OBAA/FRAAAAAAAVUABF/UAVf/QBFf1AEFVUAUVVQAVVVAAVVUAAVVQAAVUAqqqqqqqqqqqqqq	0	Who threw away the tea?	
554	Texas	2015-05-28	AQ4OBAAwPwMAAAAP/+qq//6qr//qqv/+qq/v6qrqrqqvq9VV+71VX//VVf/9VV//1VX//VVQAAAA	0	For God and Texas!	
555	CuldaClan	2015-05-28	AQ4OBAA/MDyqqqqqAAKqo/8qqjACqqMAAKUw/8VTDABVMMFVU/8VWgDCqqqMAKqo/8qqgACqqqqq	0	Culdesacians Only	
556	N00bz	2015-05-29	AQ4OBAAVKj8ACoAAA6sAAP1gABZHAAKQcAAkFwAABcAAAfAAAGwAAAbAAABsAAAAAAAAbAAAAAAA	0	Galcon? Is that a game?	
557	Slaughtered	2015-05-29	AQ4OBAAwDAdVVVVVVVVVVVVVVf1X9VVVVVVWqVVVqqVValqVWpVqVVVVVVVVVVVVVVVVVVVVVVVV	0		
558	LCHS_Alumni	2015-05-29	AQ4OBAAwPBKqq//6qr//qqv/+qq//66rqvrqu/+uq7/66rv/r/uq+qq//6qr//qqv/+qq//6qr//	0	Oakleif's Army	
559	GalaxyRulers	2015-05-29	AQ4OBAAwNT8dAAMAkAFVBUDQADcUAABRDVADXkFAF1QEB5TQd5UBAld0FADikEAoBQwbgHBCgAEE	0	Unite As One! My Comrade	
560	ImFrud	2015-05-30	AQ4OBAAwDAcAAAAAAAAAPwAAAwPMwD8wzAMDD8AwMAwAMAAAAwAVA/FREDMRFQPxUQADABAAAAAA	0	Im frud	
561	BigZebra	2015-05-30	AQ4OBAAwDAcAAAAFVVVVVVVVUAABVAAAVQAAFUAABVAAAVQAAFUAABVAAAVQAAFUAABVVVVVVVVV	0	Zebra	
562	ShadowCities	2015-05-30	AQ4OBAAwDAcAAAABUAAqUAAyAUADIAUPMgVA4yoADzADALMzMw8y8zz/PzfP////////////////	0	Peas and carrots unite!	
563	Galguardzzz	2015-05-30	AQ4OBAAqBzgAAAAA/wP8PDDwwwAMADDww8PDDwwP8D/AAAAAEBBRQQEBEBRQEQBUARABBFFAAAAA	0	Refine Until Flawless	
564	WINGS	2015-05-30	AQ4OBAA/PAIAAAADCKIMPIojw/ii/D+qr8P1VfwvBQ+CsFDoKlVagq8DqCrMOoCsM6ACwPgAAAAA	0	WIN	
565	We-da-People	2015-05-30	AQ4OBAAwPwf//1Vfu7VV7u+qr7u6qu7vVV//9VWqqqqqqqqqVVVVVVVVVaqqqqqqqqpVVVVVVVVV	0	let's do this	
566	Haterss	2015-05-30	AQ4OBAAwPzBVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Haters Gonna Hate	
567	MasiveGuardz	2015-05-31	AQ4OBAAAMD///////////X9f/9XV//3V3//fff/9/9//3+qv/f7f///ur//+/v//6q//////////	0	Never Give Up	
568	CLANdestine	2015-05-31	AQ4OBAAwDAf////8AAADxVVVPEAAE8SAITxCCBPECgE8QKATxCCBPEgCE8QAATxVVVPAAAA/////	0	00010001100?	
569	DARK	2015-06-01	AQ4OBAAwDAeqqqqqqqqqqqCqqqoKqqqgqqqqCqqqoKqqqgqqqqCqqAIIAqqqqqqqqqqqqqqqqqqq	0	Winner	
570	bellyfat	2015-06-01	AQ4OBAAwDAf377/3/vu3Vuu5+q6Zl3tXWrf3W6vrX662pdvr/1W+nW1rZ+32+navq5f99pffveX/	0	fat belly is fat	
571	evc	2015-06-01	AQ4OBAAwDAdVVV/1VVv/VVa/9VWr/1Vq//VCv/9QP//1A///VCv/9Vav/1Vav/VVa/9VVb/1VVX/	0	Don't Worry Be Happy	
572	iScout	2015-06-01	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	One-man Army	
573	ImmuneArmy	2015-06-01	AQ4OBAAAPCBVVVVVXVdVVf/1Vn//2Wc/zZaw8OlX771Vf//VV//9VV+vVVXw9VT///F////X///9	0	I want YOU for my army	
574	SpaceEagles	2015-06-01	AQ4OBAAwDAdVar/1Vqv/VWq/9VAA/1UqP/VSq/9VKj/1UAP/VSq/9VKj/1UAD/VWq/9Var/1Vqv/	0	For Baba and Clan	
575	War_Lords	2015-06-02	AQ4OBAAwDAcAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	0	Train, Fight, Win!	
